popit_id,name_en,name_mm,parent_org_en,parent_org_mm,classification_en,classification_mm,geographic_area,description,start_date,end_date,image,contact,links
,Pyithu Hluttaw Economic and Financial Development Committee,ပြည်သူ့လွှတ်တော် စီးပွားရေးနှင့်ဘဏ္ဍာရေးဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,Pyithu Hluttaw Ethinic Affairs and Internal Peace Committee,ပြည်သူ့လွှတ်တော် တိုင်းရင်းသားရေးရာနှင့် ပြည်တွင်းငြိမ်းချမ်းရေးဖော်ဆောင်မှုကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,"Pyithu Hluttaw Peasantry, Labour and Youth Committee",ပြည်သူ့လွှတ်တော်တောင်သူသမားနှင့် အလုပ်သမားရေးရာကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,Pyithu Hluttaw Investment and Industrial Development Committee,ပြည်သူ့လွှတ်တော် ရင်းနှီးမြှပ်နှံမှုနှင့် စက်မှုလက်မှုဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,Pyithu Hluttaw Public Management Committee,ပြည်သူ့လွှတ်တော် ပြည်သူ့ရေးရာစီမံခန့်ခွဲမှုကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,Pyithu Hluttaw Public Accounts Committee,ပြည်သူ့လွှတ်တော် ပြည်သူ့ငွေစာရင်းကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,"Pyithu Hluttaw Mineral, Natural Resources and Environmental Conservation Committee",ပြည်သူ့လွှတ်တော် သယံဇာတနှင့် သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးဆိုင်ရာကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,"Pyithu Hluttaw Transportation, Communications and Construction Committee",ပြည်သူ့လွှတ်တော် ပို့ဆောင်ရေး၊ ဆက်သွယ်ရေးနှင့် ဆောက်လုပ်ရေးကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,Pyithu Hluttaw Education Promotion Committee,ပြည်သူ့လွှတ်တော် ပညာရေးမြှင့်တင်မှုကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,http://globalnewlightofmyanmar.com/pyithu-hluttaw-forms-three-committees/
,Pyithu Hluttaw Citizens' Fundamental Rights Committee,ပြည်သူ့လွှတ်တော် နိုင်ငံသားများ၏ မူလအခွင့်အရေးဆိုင်ရာကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,"Pyithu Hluttaw Agriculture, Livestock Breeding and Fishery Development Committee",ပြည်သူ့လွှတ်တော် စိုက်ပျိုးရေး၊ မွေးမြူရေးနှင့် ကျေးလက်လူမှုဘဝဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,http://globalnewlightofmyanmar.com/pyithu-hluttaw-forms-three-committees/
,Pyithu Hluttaw Electric Power and Development Committee,ပြည်သူ့လွှတ်တော် လှျပ်စစ်စွမ်းအင်နှင့် ဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,Pyithu Hluttaw Health and Sports Promotion Committee,ပြည်သူ့လွှတ်တော် ကျန်းမာရေးနှင့် အားကစားဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
,Pyithu Hluttaw International Relations Committee,ပြည်သူ့လွှတ်တော် နိုင်ငံတကာဆက်ဆံရေးကော်မတီ,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,Committee,ကော်မတီ,,,,,,,
