,Kachin-9,Hpakant,ချင်း-9,ကန်ပက်လက်,Letpadan,Letpadan,ကောလင်းမဲဆန္ဒနယ်,ကောလင်းမြို့နယ်
,Kayah-1,Loikaw,စစ်ကိုင်း-1,"မြောင်, မြင်းမူ, စစ်ကိုင်း",Waw,Waw,ခင်ဦးမဲဆန္ဒနယ်,ခင်ဦးမြို့နယ်
,Kayah-10,Hpasawng,စစ်ကိုင်း-10,"မော်လိုက်, ဖောင်းပြင်",Thanatpin,Thanatpin,ခန္တီးမဲဆန္ဒနယ်,ခန္တီးမြို့နယ်
,Kayah-11,Hpasawng,စစ်ကိုင်း-11,"ခန္တီး, ဟုမ္မလင်း",Thayarwady,Thayarwady,ချောင်းဦးမဲဆန္ဒနယ်,ချောင်းဦးမြို့နယ်
,Kayah-12,Mese,စစ်ကိုင်း-12,"လေရှီး, လဟယ်, နန်းယွန်း",Thegon,Thegon,စစ်ကိုင်းမဲဆန္ဒနယ်,စစ်ကိုင်းမြို့နယ်
,Kayah-2,Loikaw,စစ်ကိုင်း-2,"ရွှေဘို, ဝက်လက်, ဒီပဲယင်း, ခင်ဦး",Oktwin,Oktwin,ဆားလင်းကြီးမဲဆန္ဒနယ်,ဆားလင်းကြီးမြို့နယ်
,Kayah-3,Demoso,စစ်ကိုင်း-3,"ကန့်ဘလူ, ကျွန်းလှ, ရေဦး, တန့်ဆည်",Okpho,Okpho,တန့်ဆည်မဲဆန္ဒနယ်,တန့်ဆည်မြို့နယ်
,Kayah-4,Demoso,စစ်ကိုင်း-4,"အရာတော်, ဘုတလင်, ချောင်းဦး, မုံရွာ",Kanpetlet,Kanpetlet,တမူးမဲဆန္ဒနယ်,တမူးမြို့နယ်
,Kayah-5,Hpruso,စစ်ကိုင်း-5,"ကနီ, ပုလဲ, ဆားလင်းကြီး, ယင်းမာပင်",Tonzang,Tonzang,ထီးချိုင့်မဲဆန္ဒနယ်,ထီးချိုင့်မြို့နယ်
,Kayah-6,Hpruso,စစ်ကိုင်း-6,"ကသာ, ထီးချိုင့်, အင်းတော်",Tedim,Tedim,ဒီပဲယင်းမဲဆန္ဒနယ်,ဒီပဲယင်းမြို့နယ်
,Kayah-7,Shadaw,စစ်ကိုင်း-7,"ဗန်းမောက်, ကောလင်း, ဝန်းသို, ပင်လည်ဘူး",Thantlang,Thantlang,နန်းယွန်းမဲဆန္ဒနယ်,နန်းယွန်းမြို့နယ်
,Kayah-8,Bawlakhe,စစ်ကိုင်း-8,"ကလေး, ကလေးဝ, မင်းကင်း",Paletwa,Paletwa,ပင်လည်ဘူးမဲဆန္ဒနယ်,ပင်လည်ဘူးမြို့နယ်
,Kayah-9,Bawlakhe,စစ်ကိုင်း-9,တမူး,Falam,Falam,ပုလဲမဲဆန္ဒနယ်,ပုလဲမြို့နယ်
