popit_id,township_en,township_mm,state,constituency_pyithu,constituency_amyotha
,Thanatpin,သနပ်ပင်မဲဆန္ဒနယ်,Bago,Thanatpin,Bago-2
,Thanbyuzayat,သံဖြူဇရပ်မဲဆန္ဒနယ်,Mon,Thanbyuzayat,Mon-5
,Thandaunggyi,သံတောင်ကြီးမဲဆန္ဒနယ်,Kayin,Thandaunggyi,Kayin-7
,Thandwe,သံတွဲမဲဆန္ဒနယ်,Rakhine,Thandwe,Rakhine-12
,Thanlyin,သန်လျင်မဲဆန္ဒနယ်,Yangon,Thanlyin,Yangon-7
,Thantlang,ထန်တလန်မဲဆန္ဒနယ်,Chin,Thantlang,Chin-3
,Thaton,သထုံမဲဆန္ဒနယ်,Mon,Thaton,Mon-9
,Thayarwady,သာယာဝတီမဲဆန္ဒနယ်,Bago,Thayarwady,Bago-10
,Thayetchaung,သရက်ချောင်းမဲဆန္ဒနယ်,Tanintharyi,Thayetchaung,Taninthayi-3
,Thayet,သရက်မြို့နယ်,Magway,Thayet,Magway-7
,Thazi,သာစည်မဲဆန္ဒနယ်,Mandalay,Thazi,Mandalay-12
,Thegon,သဲကုန်းမဲဆန္ဒနယ်,Bago,Thegon,Bago-9
,Thingangyun,သင်္ဃန်းကျွန်းမဲဆန္ဒနယ်,Yangon,Thingangyun,Yangon-3
,Thongwa,သုံးခွမဲဆန္ဒနယ်,Yangon,Thongwa,Yangon-7
,Tigyaing,ထီးချိုင့်မဲဆန္ဒနယ်,Sagaing,Tigyaing,Sagaing-6
,Tilin,ထီးလင်းမြို့နယ်,Magway,Tilin,Magway-12
,Tonzang,တွန်းဇံမဲဆန္ဒနယ်,Chin,Tonzang,Chin-7
,Toungup,တောင်ကုတ်မဲဆန္ဒနယ်,Rakhine,Toungup,Rakhine-12
,Tsawlaw,ဆော့လော်မဲဆန္ဒနယ်,Kachin,Tsawlaw,Kachin-5
,Twantay,တွံတေးမဲဆန္ဒနယ်,Yangon,Twantay,Yangon-8
,Waingmaw,ဝိုင်းမော်မဲဆန္ဒနယ်,Kachin,Waingmaw,Kachin-3
,Wakema,ဝါးခယ်မမဲဆန္ဒနယ်,Ayeyawaddy,Wakema,Ayeyawaddy-7
,Waw,ဝေါမဲဆန္ဒနယ်,Bago,Waw,Bago-3
,Wetlet,ဝက်လက်မဲဆန္ဒနယ်,Sagaing,Wetlet,Sagaing-2
,Wundwin,ဝမ်းတွင်းမဲဆန္ဒနယ်,Mandalay,Wundwin,Mandalay-12
,Wuntho,ဝန်းသိုမဲဆန္ဒနယ်,Sagaing,Wuntho,Sagaing-7
,Yamethin,ရမည်းသင်းမဲဆန္ဒနယ်,Mandalay,Yamethin,Mandalay-8
,Yankin,ရန်ကင်းမဲဆန္ဒနယ်,Yangon,Yankin,Yangon-3
,Ye,ရေးမဲဆန္ဒနယ်,Mon,Ye,"Mon-7, Mon-8"
,Ye-U,ရေဦးမဲဆန္ဒနယ်,Sagaing,Ye-U,Sagaing-3
,Yebyu,ရေဖြူမဲဆန္ဒနယ်,Tanintharyi,Yebyu,Taninthayi-4
,Yedashe,ရေတာရှည်မဲဆန္ဒနယ်,Bago,Yedashe,Bago-5
,Yegyi,ရေကြည်မဲဆန္ဒနယ်,Ayeyawaddy,Yegyi,Ayeyawaddy-3
,Yenangyaung,ရေနံချောင်းမြို့နယ်,Magway,Yenangyaung,Magway-2
,Yesagyo,ရေစကြိုမြို့နယ်,Magway,Yesagyo,Magway-10
,Yinmarbin,ယင်းမာပင်မဲဆန္ဒနယ်,Sagaing,Yinmarbin,Sagaing-5
,Ywangan,ရွာငံမဲဆန္ဒနယ်,Shan,Ywangan,Shan-8
,Za Bu Thi Ri,ဇမ္ဗူသီရိမဲဆန္ဒနယ်,Union Territory,Zabuthiri,Mandalay-10
,Zalun,ဇလွန်မဲဆန္ဒနယ်,Ayeyawaddy,Zalun,Ayeyawaddy-4
,Zay Yar Thi Ri,ဇေယျာသီရိမဲဆန္ဒနယ်,Union Territory,Zeyarthiri,Mandalay-9
,Zigon,ဇီးကုန်းမဲဆန္ဒနယ်,Bago,Zigon,Bago-12
