Popit_id,name_en,name_mm,parent_org,classification,geographic_area,description,start_date,end_date,image,contact,links
,Union Solidarity and Development Committee,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,,,,,,,,,
,"""Wa"" Democratic Party",'ဝ''ဒီမိုကရက်တစ်ပါတီ,,,,,,,,,
,Kokang Democracy and Unity Party,ကိုးကန့်ဒီမိုကရေစီနှင့်ညီညွတ်ရေးပါတီ,,,,,,,,,
,Zomi Congress for Democracy,ဇိုမီးဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,,,,,,,,,
,Ta'Arng Palaung National Party,တအာင်း(ပလောင်)အမျိုးသားပါတီ,,,,,,,,,
,National Unity Party,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,,,,,,,,,
,Pao National Organization,ပအိုဝ်းအမျိုးသားအဖွဲ့ချုပ်(PNO)ပါတီ,,,,,,,,,
,Mon National Party,မွန်အမျိုးသားပါတီ,,,,,,,,,
,Rakhine National Party,ရခိုင်အမျိုးသားပါတီ,,,,,,,,,
,Shan Nationalities League for Democracy,ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,,,,,,,,,
,Lisu National Development Party,လီဆူအမျိုးသားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ(ဒူးလေးပါတီ),,,,,,,,,
,Independent,တသီးပုဂ္ဂလ,,,,,,,,,
